name,website,region,town,holes,clubId,in_seed
Dirleton Castle Ladies Golf Club,https://dirletoncastleladies.chessck.co.uk/,East Lothian,Gullane,18,2181,
Dougalston Golf Club,https://www.dougalstongolfclub.co.uk/,East Dunbartonshire,Glasgow,18,2183,
Douglas Park Golf Club,https://www.douglasparkgolfclub.co.uk/,East Dunbartonshire,,18,2184,
Downfield Golf Club,https://www.downfieldgolf.com/,Dundee,Dundee,18,2186,
Drumoig Golf Club,http://drumoig.cw.sct.dotgolf.co.uk,Fife,St Andrews,18,2189,
Drumpellier Golf Club,https://www.drumpelliergolfclub.co.uk/visitors/,North Lanarkshire,Coatbridge,18,2190,
Duddingston Golf Club,https://www.duddingstongolfclub.co.uk/,Edinburgh,Edinburgh,18,2191,
Duff House Royal Golf Club,http://www.duffhouseroyal.com,Aberdeenshire,Banff,18,2192,
Dufftown Golf Club,https://dufftowngolfclub.com/,Moray,Dufftown,18,2193,
Dullatur Golf Club,http://www.dullaturgolf.com/,North Lanarkshire,Glasgow,18,2195,
Dumbarnie Golf Links,https://www.dumbarnielinks.com/,Fife,Fife,18,2196,
Dumbarton Golf Club,https://www.dumbartongolfclub.co.uk/,West Dunbartonshire,Broadmeadow,18,2197,
Dumfries & County Golf Club,https://thecounty.co.uk/,Dumfries & Galloway,Dumfries,18,2199,
Dumfries & Galloway Golf Club,https://www.dandggolfclub.co.uk/,Dumfries & Galloway,Dumfries,18,2200,
Dun Ochil Golf Club,http://dunochil.com/website/,Perth & Kinross,Auchterarder,18,2202,
Dun Whinny Golf Club,https://www.dunwhinny.com/,Perth & Kinross,Auchterarder,18,2203,
Dunaverty Golf Club,https://www.dunavertygolfclub.com/,Argyll & Bute,Argyll,18,2204,
Dunbar Golf Club,https://dunbargolfclub.com/,East Lothian,Dunbar,18,2206,
Dunblane New Golf Club,http://www.dngc.co.uk/,Stirling,Dunblane,18,2208,
Dundas Parks Golf Club,https://www.dundasparksgolf.co.uk,Edinburgh,South Queensferry,18,2210,
Dundonald Links Golf Club,https://dundonaldlinks.com/,North Ayrshire,Irvine,18,2211,
Dunecht House Golf Club,https://dunechthousegolfclub.co.uk/,Aberdeenshire,Westhill,18,2212,
Dunfermline Golf Club,http://www.dunfermlinegolfclub.com,Fife,Fife,18,2213,
Dunkeld & Birnam Golf Club,https://www.dunkeldandbirnamgolfclub.co.uk/,Perth & Kinross,PH8 0ES,18,2214,
Dunnikier Park Golf Club,https://www.dunnikierparkgolfclub.com/,Fife,Fife KY1 3LP,18,2215,
Dunning Golf Club,https://www.dunninggolfclub.co.uk/,Perth & Kinross,Perth,18,2216,
Duns Golf Club,https://www.dunsgolfclub.com/,Scottish Borders,Duns,18,2218,
Durness Golf Club,https://www.durnessgolfclub.org/,Highland,Lairg,18,2219,
Earlsferry Thistle Golf Club,https://earlsferrythistle.org.uk/,Fife,Leven,18,2221,
East Kilbride Golf Club,https://www.ekgolfclub.com/,South Lanarkshire,Glasgow,18,2223,
East Kilbride Sports Club Golf Club,https://eastkilbridesportsclub.com/,South Lanarkshire,Glasgow,18,2225,
East Renfrewshire Golf Club,https://www.eastrengolfclub.co.uk/,East Renfrewshire,Glasgow,18,2228,
Easter Moffat Golf Club,http://www.emgc.org.uk/,North Lanarkshire,Airdrie,18,2229,
Eastwood Twelve Golf Club,https://eastwoodtwelve.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=ew12-gbp,East Renfrewshire,,12,2726,
EdenFields Golf Club,https://www.elmwoodgolf.co.uk/season-tickets/edenfields-golf-club/,Fife,KY15 5RS,18,2231,
Edinburgh Leisure Golf Club,https://www.edinburghleisure.co.uk/activities/golf,Edinburgh,Edinburgh,18,2234,
Edinburgh Thistle Golf Club,https://www.edinburghthistlegolfclub.com/,Edinburgh,Edinburgh,18,2235,
Edinburgh Western Golf Club,https://ewgc.golf-club.website/website/,Edinburgh,Edinburgh,18,2236,
Edzell Golf Club,https://www.edzellgolfclub.com/,Angus,Brechin,18,2237,
Elderslie Golf Club,https://eldersliegolfclub.com/,Renfrewshire,Eldeslie,18,2238,
Elgin Golf Club,https://www.elgingolfclub.com/,Moray,Elgin,18,2240,
Elie & Earlsferry Ladies Golf Club,http://www.ladiesgolfelie.co.uk/,Fife,Elie,18,2241,
Eriskay Whisky Galore Golf Club,https://www.eriskaygolfclub.com/,Highland,Tain,18,2245,
Erskine Golf Club,https://www.erskinegolfclublimited.co.uk/,Renfrewshire,Bishopton,18,2246,
Eyemouth Golf Club,http://www.eyemouthgolfclub.co.uk,Scottish Borders,Eyemouth,18,2247,
Fairmont St Andrews,http://www.fairmont.com/st-andrews-scotland,Fife,St Andrews,18,2248,
Falkirk Golf Club,http://www.falkirkgolfclub.co.uk/,Falkirk,Falkirk,18,2250,
Falkirk Tryst Golf Club,https://www.falkirktrystgolfclub.com/,Falkirk,FK5 4BT,18,2251,
Falkland Golf Club,https://www.falklandgolfclub.com/,Fife,Cupar,9,2252,
Fereneze Golf Club,https://ferenezegolfclub.co.uk,East Renfrewshire,Glasgow,18,2253,
Fife County Ladies Golf Association,https://fclga.blogspot.com/,Fife,,18,2254,
Forfar Golf Club,http://www.forfargolfclub.co.uk,Angus,Forfar,18,2256,
Forres Golf Club,https://forresgolfclub.co.uk/,Moray,Forres,18,2257,
Forrester Park Golf Club,https://www.forresterparkresort.com/,Fife,Cairneyhill,18,2258,
Fort William Golf Club,https://fortwilliamgolfclub.com/,Highland,Fort William,18,2260,
Fortrose & Rosemarkie Golf Club,https://fortrosegolfclub.co.uk/,Highland,Fortrose,18,2261,
Fraserburgh Golf Club,https://fraserburghgolfclub.org/,Aberdeenshire,Aberdeenshire,18,2262,
Gairloch Golf Club,https://gairlochgolfclub.co.uk/index.html,Highland,IV21 2BD,18,2263,
Galashiels Golf Club,http://www.galashielsgolfclub.co.uk,Scottish Borders,Galashiels,18,2264,
Galloway Ladies County Golf Association,http://www.gallowayladies.co.uk/,Dumfries & Galloway,,18,2265,
Garmouth & Kingston Golf Club,http://garmouthkingstongolfclub.com/,Moray,Fochabers,18,2267,
Gatehouse Golf Club,http://www.gatehousegolfclub.com/,Dumfries & Galloway,Gatehouse,18,2268,
Gifford Golf Club,https://www.giffordgolfclub.com/,East Lothian,EH41 4JE,18,2270,
Girvan Golf Club,https://www.girvangolf.com/,South Ayrshire,Girvan,18,2271,
Glasgow Gailes Links ,https://gaileslinks.co.uk,South Ayrshire,Irvine,18,2731,
