Club Name,Course Name,Website
Huntly Golf Club,Huntly Golf Club,https://www.huntlygolfclub.com
iLactive,Whinhill Golf Course,https://ilactivegolf.com
Inchmarlo Golf Resort,Inchmarlo Golf Resort,https://www.inchmarlogolf.co.uk
Ineos Golf Club,Ineos Golf Club,https://ineosgolfclub.webs.com
Innerleithen Golf Club,Innerleithen Golf Club,https://www.innerleithengolf.co.uk
Insch Golf Club,Insch Golf Club,https://www.inschgolfclub.co.uk
Inverallochy Golf Club,Inverallochy Golf Club,https://www.inverallochygolfclub.com
Inveraray Golf Club,Inveraray Golf Club,
Invergordon Golf Club,Invergordon Golf Club,https://invergordongolf.co.uk
Inverness Golf Club,Inverness Golf Club,https://www.invernessgolfclub.co.uk
Inverurie Golf Club,Inverurie Golf Club,https://www.inveruriegolfclub.co.uk
Iona Golf Course,Iona Golf Course,
Irvine Golf Club,Irvine Golf Club,https://www.theirvinegolfclub.co.uk
Irvine Ravenspark Golf Club,Irvine Ravenspark Golf Club,https://www.irgc.co.uk
Isle of Eriska Golf Club,Isle of Eriska Golf Club,https://www.eriska-hotel.co.uk/
Isle of Skye Golf Club,Isle of Skye Golf Club,https://www.isleofskyegolfclub.co.uk
Jedburgh Golf Course,Jedburgh Golf Course,https://www.jedburghgolfclub.co.uk
Keith Golf Club,Keith Golf Club,http://www.keithgolfclub.co.uk
Kelso Golf Club,Kelso Golf Club,https://www.kelsogolfclub.co.uk
Kemnay Golf Club,Kemnay Golf Club,https://www.kemnaygolfclub.co.uk
Kenmay Golf Course,Beechbank 6-hole course,https://www.kemnaygolfclub.co.uk/copy-of-championship-course
Kilbirnie Place Golf Club,Kilbirnie Place Golf Club,https://www.kilbirnieplacegc.co.uk
Killin Golf Club,Killin Golf Club,https://www.killingolfclub.co.uk
Killymoon Golf Club,Killymoon Golf Club,https://www.killymoongolfclub.com
Kilmacolm Golf Club,Kilmacolm Golf Club,https://www.kilmacolmgolfclub.com
Kilmarnock Golf Club Barassie Links,Kilmarnock Golf Club Barassie Links,https://www.kbgc.co.uk
Kilrea Golf Course,Kilrea Golf Course,https://kilreagolfclub.com
Kilspindie Golf Club,Kilspindie Golf Club,http://kilspindiegolfclub.co.uk
Kilsyth Lennox Golfcouse,Kilsyth Lennox Golfcouse,https://www.kilsythlennox.com
King James VI Golf Club,King James VI Golf Club,https://www.kingjamesvi.co.uk
King's Acre Golf Course,King's Acre Golf Course,https://www.kings-acregolf.com
King's Golf Club,King's Golf Club,https://www.kingsgolfclubinverness.co.uk
Kings Links Golf Course,Kings Links Golf Course,https://www.sportaberdeen.co.uk/kings-links
Kingsbarns Golf Links,Kingsbarns Golf Links,https://www.kingsbarns.com
Kingsfield Golf Course,Kingsfield Golf Course,https://www.kingsfieldgolf.com
Kingsknowe Golf Course,Kingsknowe Golf Course,https://www.kingsknowe.com
Kingussie Golf Club,Kingussie Golf Club,https://kingussiegolfclub.co.uk
Kinross Golf Club (Green Hotel),The Bruce,https://www.kinrossgolfclub.co.uk/
Kinross Golf Club (Green Hotel),The Montgomery,https://www.kinrossgolfclub.co.uk/
Kintore Golf Club,Kintore Golf Club,https://www.kintoregolfclub.net
Kippie Lodge Sports & Leisure,Kippie Lodge Sports & Leisure,http://www.kippielodge.com/sports
Kirkcaldy Golf Club,Kirkcaldy Golf Club,https://kirkcaldygolfclub.co.uk
Kirkcudbright Golf Course,Kirkcudbright Golf Course,https://www.kirkcudbrightgolf.co.uk
Kirkhill Golf Club,Kirkhill Golf Club,https://www.kirkhillgolfclub.org.uk
Kirkintilloch Golf Club,Kirkintilloch Golf Club,https://www.kirkintillochgolfclub.com
Kirriemuir Golf Club,Kirriemuir,https://www.kirriemuirgolfclub.co.uk
Knightswood Golf Course,Knightswood Golf Course,https://www.glasgowlife.org.uk/sport/our-facilities/golfcourses/knightswood-golf-course
Kyles of Bute Golf Club,Kyles of Bute Golf Club,https://www.kylesofbutegolfclub.co.uk
Ladybank Golf Club,Wee Course,https://ladybankgolf.co.uk/
Lamlash Golf Club,Lamlash Golf Club,https://www.lamlashgolfclub.com
Lanark Golf Club,Lanark Golf Club,https://www.lanarkgolfclub.co.uk
Langholm Golf Club,Langholm Golf Club,https://www.langholmgolfclub.co.uk
Langlands Golf Club,Langlands Golf Club,https://www.langlandsgolfclub.co.uk
Largs Golf Course,Largs Golf Course,https://www.largsgolfclub.co.uk
Lauder Golf Club,Lauder Golf Club,https://lauder.golf-club.website/website
Leadhills Golf Course,Leadhills Golf Course,https://www.leadhillsgolfclub.com
Lenzie Golf Club,Lenzie Golf Club,https://www.lenziegolfclub.co.uk
Leslie Golf Club,Leslie Golf Club,https://www.lesliegolfclub.co.uk
Letham Grange Golf Club,Glens Course,https://www.lethamgrangegolfclub.co.uk/
Leven Links,Leven Links Golf Course,https://www.leven-links.com
Liberton Golf Course,Liberton Golf Course,https://www.libertongc.co.uk
Lilliesleaf Golf Course,Lilliesleaf Golf Course,https://www.dimpleknowe.co.uk/
Linlithgow Golf Club,Linlithgow Golf Club,https://www.linlithgowgolf.co.uk
Loch Lomond Golf Course,Loch Lomond Golf Course,https://www.lochlomond.com
Loch of Aboyne Golf Course,Loch of Aboyne Golf Course,
Loch View Golf Course,Loch View Golf Course,https://www.activenl.co.uk/venue-finder/venues-3/lochview-family-golf-centre
Lochcarron Golf Course,Lochcarron Golf Course,https://lochcarrongolfclub.co.uk
